DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
5121,757056.3554,748722.5926,810194.8409,811570.9989,920481.1614,960018.128,1145362.368,869992.7061,912277.0512,955358.2984,980378.5891,1203431.318,914258.6519,857990.065,945052.4659,1021512.918,1213508.953,940802.5959,1220828.651,1077111.58,881810.6176,1138270.139,879565.4281,1269265.519,905288.2985,952835.7793,931488.2603,639061.6168,531416.9943,448026.7134,876348.4908,520875.9261,670868.5934,644798.8699,521498.5101,581212.9784,348205.3657,368280.6115,397243.1066,361051.8492,388931.2912,462178.5676,507668.4957,443847.9892,409043.7665,479281.3551,480539.5724,751385.8827,404580.7832,434713.9607,553959.3732,460145.3218,621455.1659,549137.9551,565611.0341,539042.7195,501787.3613,566197.2425,553289.5889,605713.8569,512883.3085,550266.2475,590738.2463,675448.883,657223.4256,734343.4632,673362.2243,600302.6265,622840.0148,647878.2333,634273.51,804308.6989,478874.6139,523070.6894,526115.2986,446100.5472
5151,613329.8672,725500.6503,632251.1203,687572.0275,671519.7313,652058.5213,673801.3313,719456.2442,712419.6272,748061.5915,760078.8317,930786.1994,671643.9191,729854.331,686174.7443,716316.7221,691440.7431,680809.1183,665696.7805,736475.9516,737316.4487,769328.5278,764700.0541,965463.3192,652580.2654,758999.7591,673361.5445,578271.9774,692146.9052,689069.1988,694190.9875,755773.7786,757693.4772,795511.871,802681.6091,1034616.342,740220.2188,658213.1538,608940.7013,657013.6126,704213.7188,708390.7207,686032.2203,700819.8129,773033.1952,763384.9136,795131.4058,906319.8889,923728.9047,1004979.399,950041.3534,972219.0601,1054813.987,1137078.05,877427.859,1284011.212,1211978.548,1171617.815,1016073.476,1098208.853,1064422.774,1092864.264,1159985.957,1065525.076,1098788.515,1085660.749,412160.4801,1126043.109,1248883.208,1194743.551,1055572.304,1165337.651,1056692.365,1054043.466,1139945.419,1135232.946
5173,4864334.095,4579589.108,4794481.745,4804751.256,5028226.014,4639911.407,4840103.619,4584292.047,4617350.485,5401130.337,4755220.317,5157163.087,4565272.489,4486115.183,4799367.183,4912576.747,4985915.42,4877825.98,4832596.992,4719841.698,4869418.578,4872178.633,4778283.37,4932800.836,5155649.452,4659534.011,4912746.396,4653702.232,4875497.601,5003430.007,4802252.571,4738299.089,4705591.289,4492887.978,4805840.388,4481391.748,4983620.885,4403009.557,4781411.368,4595877.584,4853761.614,4666534.957,5911480.682,4926679.045,5339668.638,5033758.916,4927114.799,5232664.504,5163761.298,4734407.349,5118937.005,5215125.887,5494875.767,4997201.155,5195595.992,5349099.4,4949273.123,5108279.118,4911601.631,4939684.4,5467949.628,5004646,5397828.533,5529399.221,5497898.16,5284204.45,5402529.817,5254447.589,5240597.041,5252439.249,5161913.156,5182300.329,5609508.596,5310487.513,5852433.539,5071062.005
5182,297081.6949,309511.2425,298502.7849,314260.3802,361394.6451,332746.7429,344032.8463,330825.564,313370.1231,320366.7628,335118.9193,456545.5353,326688.7802,303405.6133,316284.0307,337937.9541,350838.0269,362086.6891,361786.0308,333916.3606,314550.1203,335068.4751,340750.0063,465556.6069,319773.6847,331879.9351,341335.3355,376311.367,425481.991,360655.3607,397382.2266,367519.105,347333.5236,352230.2646,346001.4524,521019.2263,307712.9466,299697.8096,299855.334,324940.5282,415937.4814,319065.843,349186.2673,464050.3867,381602.5702,365293.4224,358602.3654,735358.4498,345837.6645,431295.0979,438842.3283,465453.6655,475015.7021,441794.2121,496374.2884,523179.9738,428990.6648,464695.7173,436370.8526,760545.1592,433269.0341,491875.4199,506592.2934,518501.8726,511431.8507,514900.1194,538615.4226,569558.7095,488941.8721,525517.4954,500994.7799,909388.2404,479624.3446,517442.8193,504815.6076,518588.5799
53,2743170.832,2458303.136,2391768.538,2417769.998,2422338.158,2399849.647,2521758.459,2439321.12,2430410.386,2450333.755,2521416.719,3207767.643,2442773.996,2391423.794,2522692.543,2499807.569,2608123.782,2550760.603,2569091.545,2478393.138,2479421.316,2512631.069,2665894.401,3333577.15,2645384.058,2600362.894,2632553.141,2532974.715,2682614.014,2545970.355,2962410.013,2586805.447,2589408.987,2776333.355,2593687.62,3123356.445,2743368.263,3018420.58,2792709.158,2920272.902,3153846.114,3086749.597,3194113.641,2991793.37,2717115.59,2768181.912,2576166.591,3579144.613,3011520.331,3617832.568,4124104.297,3507085.678,3940378.116,3472302.168,3540863.422,3438668.016,3472650.505,3510941.45,3636485.411,4609149.236,3658202.443,3729217.403,3840207.629,3655375.03,4333395.002,3955013.637,3856727.929,3880663.846,3798003.125,4018505.489,3991165.847,5068437.679,3788777.012,4285882.614,4381425.557,4477202.913
5311,209834.8204,221984.7014,220052.5272,233410.0202,225340.6242,227721.4927,245998.0427,227346.2929,211268.2335,222467.3437,228032.089,284198.751,202320.7755,205573.0523,216092.1301,213191.492,215158.1689,204779.5273,205790.6942,204788.4617,205973.4561,203801.1744,228967.8096,299441.6327,228346.3112,225038.6825,226844.415,229343.0993,273067.1592,268241.7376,380718.4337,272706.6645,280333.3727,306381.7183,261456.3542,322085.3563,281263.9111,324263.3872,263902.5759,290755.3616,325447.8755,322345.8074,346947.7698,303559.3119,274179.6381,286692.5392,327238.0032,489483.0913,380979.7599,407232.0322,442620.7503,400706.2446,482382.9206,411926.0706,420002.5293,404960.5549,396069.4882,411660.2787,451791.2916,588974.9057,485893.8178,498277.0282,506889.3781,487715.1045,598909.1265,518019.7409,513974.9892,485255.0662,508414.4878,547936.3954,569737.2571,734893.9128,526014.5159,590929.3071,563844.5792,584067.1753
5312,666965.9626,676327.3522,704996.4068,764068.7766,724038.8746,715875.0326,773962.4391,727215.8904,700465.8652,682328.1752,710985.8302,970091.7222,669482.9474,686692.2384,729761.5655,742426.9712,727009.4774,706971.2388,699293.9032,698778.3884,725017.2076,677128.746,736738.0272,930231.5894,729663.7582,737359.5842,777164.202,735926.5197,864991.1794,803157.5368,952230.3737,823965.9125,854642.949,869379.6982,852587.5983,977528.7576,874726.0661,976534.1802,884270.0498,950174.5074,1036812.752,1009618.462,1083487.834,1011073.409,896636.7983,954808.2574,796935.76,1124495.696,1084666.671,1412257.793,1880307.42,1305293.649,1351240.32,1264951.791,1298560.356,1186728.787,1248518.634,1179716.761,1211314.999,1538918.653,1215827.977,1184199.347,1239942.983,1138972.618,1224362.382,1354378.909,1330454.19,1315708.288,1242888.014,1288769.045,1296913.54,1664660.839,1058204.553,1334747.894,1375320.229,1456848.479
5313,312969.884,330665.2782,328612.0082,356866.9079,340257.9623,341442.379,381819.5207,339933.6415,314629.009,338736.3966,349896.349,445092.3313,300200.9025,301378.9244,321980.2361,319791.3612,325894.1507,305532.8333,306340.3926,304624.0876,311768.1819,306162.0667,362934.2512,482781.9697,365230.343,343434.4607,341142.3115,343133.7618,477950.6468,470703.7112,630407.2133,485542.1325,490212.8769,549747.2448,454329.7734,577958.3101,496812.6098,581438.3478,447435.9785,507714.3716,569973.2776,561077.5463,610370.1028,502721.7849,474679.5101,476607.9048,445620.7431,775765.2789,596656.5962,667051.2233,705411.023,670436.4808,728420.52,657074.6153,691824.6108,714650.0969,769181.4604,748388.3444,755519.6174,917790.0132,728322.1023,739732.5252,766006.3507,744812.9307,906839.0653,769206.5603,778051.6354,846714.5591,816071.2925,852066.1729,791651.4946,1041914.948,855045.0606,918910.3305,1007552.351,1018317.944
5321,288762.7502,275903.6463,297262.7056,303864.4637,318973.0347,319776.3816,313631.0357,328831.9051,318983.2093,319671.8178,315064.4897,391595.2206,368339.67,352459.5627,332790.3903,352720.9727,359325.0087,350543.8023,360344.3819,358755.5507,361032.2005,355355.7927,370400.1462,388724.3308,428640.0204,398469.3832,383872.5469,320557.8372,265732.7737,275384.3825,277679.9997,301747.4332,282476.5401,319626.9919,315647.507,355330.0857,409888.0428,415313.0702,401453.4362,387440.6968,433698.5226,436160.7646,397295.5394,385468.761,358404.2305,352569.4273,362628.5406,400811.674,322805.3982,335256.6848,334168.8402,333551.9279,463684.1538,328555.3252,351085.8381,344477.3457,340199.128,333696.7701,377915.8945,450326.8451,415557.4946,421392.392,433958.8552,423892.7407,620924.0643,447701.4438,401306.8705,387212.4309,391595.2881,382692.8806,390072.7284,487734.7575,471426.5707,534337.5061,520396.3118,518514.2547
5324,1264637.415,953422.1582,840844.8898,759559.8291,813727.6617,795034.3611,806347.4205,815993.3902,885064.0686,887130.0212,917437.9609,1116789.618,902429.7007,845320.0166,922068.2208,871676.7719,980736.9762,982933.2013,997322.1733,911446.6491,875630.2697,970183.289,966854.1666,1232397.628,893503.6252,896060.783,903529.6654,904013.4968,800872.2551,728482.9865,721373.9929,702843.3046,681743.2485,731197.7019,709666.3867,890453.9357,680677.6328,720871.595,795647.1175,784187.9642,787913.6861,757547.0163,756012.3951,788970.1027,713215.4131,697503.7829,643743.5436,788588.8731,626411.9066,796034.834,761596.2636,797097.3757,914650.2016,809794.3662,779390.0878,787851.2324,718681.7939,837479.2961,839943.6086,1113138.82,812601.0517,885616.1101,893410.0624,859981.6365,982360.3636,865706.9831,832940.244,845773.5009,839034.0425,947040.9953,942790.8268,1139233.222,878086.3117,906957.5764,914312.0857,899455.0596
