DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
5313,1520085.05,1648802.302,1688725.023,1776886.271,1733574.183,1883507.127,1937106.602,1915366.929,1691817.287,1669787.834,1787389.582,2078524.292,1647466.032,1617869.539,1696567.574,1708064.015,1556928.635,1586653.957,1592655.258,1526729.017,1553400.258,1458861.06,1562753.335,1776728.146,1509124.604,1605964.605,1682106.732,1583938.175,1300300.962,1318569.314,1383390.562,1363300.106,1517901.241,1523555.35,1668322.426,1793556.902,1449953.781,1644961.903,1632777.994,1812981.614,1717382.859,1959641.668,1975551.598,2516536.923,1955489.985,2392604.755,2050040.973,2134555.192,1693187.51,1822002.071,2203160.07,2215471.643,2242530.68,2373970.04,2520803.825,2751786.975,2507138.207,2769061.333,3191421.786,3162200.76,2397217.189,2629834.159,2861837.141,2482660.351,2783538.797,2673498.665,2839133.61,3090353.693,2528986.176,2672001.087,2792841.084,2968954.628,2401415.305,3058978.162,2927269.665,2725823.549
5321,1667044.878,1706830.117,1821187.851,1821432.189,1889865.147,1815295.33,1826404.139,1830661.631,1834827.12,1955531.147,2081097.691,2032492.712,2594386.746,2116381.659,2103702.22,2107912.319,2086605.466,2056521.638,2334034.104,2219035.011,2074857.33,2139481.01,2263352.349,2284060.904,2617723.974,2357609.491,2156204.601,1987616.6,1491294.538,1609965.643,1780816.689,1856598.985,1813718.85,2322319.39,1873405.557,2633794.218,3218869.21,2764804.783,3458000.507,3031709.953,2901475.907,2820805.65,2806204.379,2500138.815,2705699.287,2538048.195,2681941.648,3698806.073,2676038.984,2308580.543,2564215.21,2446792.476,2558759.122,2749673.038,2794797.911,2707918.437,3000693.483,2605154.7,2719288.663,2593022.212,3163500.869,2822837.399,3100900.451,2895701.849,2936860.26,2804235.95,2869114.376,3172367.323,3077616.583,3065923.855,3223866.693,2978189.75,3872465.92,3931987.669,3857439.702,4120905.644
5324,6581514.121,4483582.791,4334833.199,2756903.941,3021375.371,3035744.833,3190625.391,3235047.548,3475563.524,3721338.506,3639482.797,4049393.609,3566504.229,3158003.812,3528206.466,2937544.336,3382376.816,3634125.682,3543586.197,3365077.009,3470865.343,3478163.204,3568575.204,3971479.689,3665988.771,3539018.621,4021493.44,3628005.483,3193803.049,1668892.865,2910027.323,2570173.759,2514358.57,2440276.916,2438399.911,2504569.36,2199876.449,2381777.646,2864644.466,2771092.902,2742635.79,2629937.867,2725125.293,2513578.815,2484815.329,2482789.145,2464316.912,2729955.303,1876157.486,2168867.723,2745927.427,2488969.282,2787092.18,2444202.806,2374402.524,2650813.884,2492883.699,2944288.576,2616616.98,3195923.687,2343831.375,2277072.799,2228969.766,2545341.866,2327810.824,2517800.902,2585152.939,2125080.918,2783795.263,2556672.399,2535405.664,2820882.873,2638723.591,2206768.145,2244796.029,2153698.292
54,11595437.99,13571570.55,13028181.86,13065972.13,16205829.08,15617887.6,14693443.24,14903451.46,15030165.82,16002829.32,17690940,22666870.88,11367141.6,13660330.1,14742500.69,14245491.38,15782397.21,16300763.03,15917143.09,15517895.16,15022119.63,15391581.5,16817588.42,21388136.16,11806693.06,11663675.31,13211212.3,12645200.4,10847699.45,11466903.5,13018825.43,14659880.92,13592589.31,15302363.3,16106667.22,19605911.74,10687003.95,10904504.78,12338371.18,12257778.04,13705281.21,15085565.46,13890513.31,14649345.59,14026669.31,12462145,12786185.13,20513554.12,8762232.261,10563919.91,11629505.14,11570391.63,12978129.52,12299428.63,13349674.82,14125944.34,14258877.11,14436455.1,16265161.97,22494682.7,12236800.87,13135593.55,14861126.95,13985384.06,15110365.71,16194491.87,16401941.38,16013572.77,14765792.01,15327621.75,17248279.6,23713738.47,14262796.13,16358693.87,17234443.62,17564563.96
5411,898850.8936,907401.2161,841256.043,841639.4926,906543.0408,905848.1245,844031.8467,903090.8545,899127.4057,1059355.12,1071215.752,1324323.271,1000307.355,1093063.8,1085249.236,1075090.835,946255.3981,991711.0424,1108509.635,1040306.351,1014123.329,1146876.651,1158450.76,1327873.056,1092911.379,943335.6116,937585.2861,854552.0215,742022.2921,749533.1299,799023.9027,766905.9657,844465.4523,949794.2856,901256.6354,985785.8124,771670.4589,797489.6197,837623.3821,911003.8462,851648.8229,895775.8944,900687.5975,894479.8034,890546.8044,1086285.443,951769.9721,1033173.239,1060623.711,1220665.248,1228511.938,1159392.783,1440172.578,1454989.881,1364124.815,1252241.678,1226302.689,1262942.329,1466604.104,1552537.167,1279809.244,1185997.302,1309375.093,1178886.879,1310604.263,1316755.349,1385064.786,1217947.807,1243628.762,1256039.601,1320445.66,1261645.187,1484982.077,1411090.687,1442200.142,1542355.308
5412,662864.4866,735179.1276,752072.5617,773947.3615,865417.138,840444.5021,754498.6823,756101.5088,767911.3607,789649.3654,827562.7134,789899.1851,746107.829,712112.7365,741246.3057,739378.6092,760489.9494,752736.719,709437.4847,712928.8254,746174.6237,715114.3122,716259.7898,821161.8739,639026.1652,666673.3222,718188.26,737389.0762,677480.7097,727160.7786,632610.3763,610878.506,607978.5201,712663.1836,641562.0814,841736.525,561935.1939,586025.3295,680981.9197,746857.6071,636118.0304,854531.8778,579643.3779,540445.9524,564898.8676,587560.6253,578013.1134,762634.2318,587006.7828,756834.0133,879114.0295,1059694.513,990940.7328,1036593.481,964646.4292,1153705.195,1105966.845,1041323.852,1080188.743,1768029.141,840521.3963,992850.0473,998912.3478,1016698.708,1136513.838,1156860.57,1266964.653,1063884.167,1042222.065,998824.2027,1142529.789,1387668.848,1240226.665,1700594.45,1408169.529,1530550.38
5413,2974446.084,3108509.655,3182585.981,2814851.245,3457856.211,3592018.319,3431252.359,3394795.844,3817116.762,3818454.652,4572287.162,5598653.246,2318042.471,3461024.645,4490833.459,3838997.674,3821296.186,3907556.527,4315441.29,3538444.855,4458130.139,4283293.036,4278413.94,5697979.446,2852779.617,2660180.455,3206182.705,3542105.991,2494783.754,2849356.853,3191592.18,3605350.559,4525365.353,4287936.523,3819851.084,5053743.283,2713125.241,2509774.038,2916245.178,2825233.342,2996786.486,3206764.758,3109645.606,2813561.684,2987180.607,2908682.89,3521371.506,4994263.698,2104309.022,2304813.404,2994637.032,2493195.032,3095622.012,2752013.162,3186372.315,3300337.316,3587204.31,3353989.263,3311702.6,4694983.954,2947730.6,2709136.665,3143945.667,2800516.83,3085555.219,3382521.845,3230592.337,2984395.37,2958088.73,3302953.365,3611390.535,5036422.452,3245820.911,3145706.524,3467265.744,3083178.417
5415,2298788.897,3780855.473,3535990.6,2978200.187,4468879.298,4181631.368,3312790.442,3558359.232,3505053.185,3326095.488,3922407.021,5603253.472,2733969.683,3132550.628,3228994.669,3002615.716,4398904.807,4312472.485,3734165.931,4261143.351,3300019.806,3074889.762,4376881.251,3795580.354,2734640.373,3062471.395,2946302.227,2852624.194,2814152.33,2998011.17,2844083.544,3268721.029,2819267.738,2998643.581,3635622.623,3878954.033,2188197.648,2390549.027,1760489.667,2185537.973,2452594.286,3305099.576,2361830.361,2594139.177,3248609.227,2452046.781,2271582.915,3949473.299,1718007.364,2063024.489,2082144.699,2271878.848,2207755.355,2153704.785,1679653.842,2031884.706,2007096.176,2337871.142,2474917.659,3254893.763,1864666.916,2253442.966,2303669.484,2490952.374,2992987.03,2631073.76,2762145.066,2674551.647,2138132.77,2799717.819,2787163.326,4211454.824,2214314.973,3260376.773,3294672.59,3529284.172
5416,1593960.231,1429478.806,1325843.036,1454861.161,1781382.122,1620492.672,1800211.302,1734353.922,1687549.467,2014948.574,1948337.989,2309215.483,1316140.289,1103626.253,1314038.375,1227650.993,1353800.168,1259150.371,1296854.252,1289686.459,1329770.654,1284663.765,1179559.01,1401805.427,1211621.66,1042621.205,1192394.632,1117678.118,1172695.414,998621.055,1267740.767,2897921.296,1488092.654,1627387.331,1635167.518,1847012.471,1554393.191,1185026.355,1384779.715,1382195.625,1456146.766,1699725.984,1468558.159,1562872.925,1489869.045,1540380.565,1250066.786,3119361.899,820086.5927,853819.9859,1148585.902,999558.1454,1159005.073,1227138.119,1065298.085,1523221.905,1299736.459,1652600.372,1540313.043,2160810.685,1297564.563,1545741.537,1910971.965,1548301.462,1705810.277,1807136.742,1774707.858,2034271.183,1601064.809,1861651.552,1830117.078,2568761.977,1669596,1728752.716,1970485.054,1849560.012
5418,2563856.044,2980188.003,2706918.954,3502048.182,3936036.29,3435158.465,3763360.031,3799602.224,3487853.91,4192995.326,4427377.443,5874006.922,2656782.091,3603179.993,3251293.81,3767343.844,3904897.409,4248727.417,4099602.384,3888810.035,3470763.001,4046526.701,4342200.24,6995483.948,2743637.723,2700593.68,3600986.789,2928671.27,2495528.889,2687259.36,3843562.981,2960240.327,2775323.159,4048753.516,4705817.762,5932099.07,2400175.469,2972036.791,4253509.83,3729755.344,4707960.189,4521223.67,4934467.431,5650102.547,4181196.268,3203422.599,3392137.586,5646704.744,1836688.789,2753304.234,2479776.749,2857340.387,3301893.967,2875915.952,4269300.462,4075908.145,4171319.878,3888580.294,5387105.63,7765844.369,3304932.779,3651993.811,4371623.806,4132682.093,4080803.545,5011178.207,5192417.068,5233710.2,4946571.529,4211907.556,5616342.84,7869720.808,3585935.921,4288110.886,4803778.339,5055684.572
